Address,Price,Beds,Baths,Space
"30 Bernbridge Rd, Markham, Ontario L6B0S3","$1,349,900 CAD",4 BedsBds,3 BathsBa,
"2830 Denison St, Markham, Ontario L3S4T5","$939,900 CAD",4 BedsBds,4 BathsBa,
"Birchmount Road, Markham, Ontario L6G1B3","$633,900 CAD",,,
"Markham - TORONTO // Executive Townhome For Sale ( Last Few Units Available), Markham, Ontario","$1,139,990 CAD",,,
"20 Fred Varley Drive, Markham, Ontario L3R1S4","$784,990 CAD",,,
"1 Verclaire Gate S, Markham, Ontario L3R1L3","$633,900 CAD",,,
"42 Cavalry Tr, Markham, Ontario L3R9H3","$1,699,900 CAD",4 BedsBds,4 BathsBa,
"No address available, Markham, Ontario","$800,000 CAD",,,
"Bur Oak Avenue, Markham, ON, Markham, Ontario","$818,800 CAD",,,
"57 Primrose Path Cres, Markham, Ontario","$1,099,000 CAD",4 BedsBds,4 BathsBa,
"778 Hammersly Blvd, Markham, Ontario L6E1N7","$988,000 CAD",4 BedsBds,3 BathsBa,
"Bayview Avenue & Royal Orchard Boulevard, Markham, Ontario L3T 4A3","$1,180,000 CAD",,,
"35 West Normandy Dr, Markham, Ontario L6B0A6","$1,098,000 CAD",3 BedsBds,3 BathsBa,"2,500 SqftSqft"
"No address available, Markham, Ontario","$1,155,000 CAD",,,
"No address available, Markham, Ontario","$549,900 CAD",,,
"7 Bern St, Markham, Ontario L6E1G7","$988,000 CAD",3 BedsBds,4 BathsBa,
"Cornell Rouge by Forest Hill Homes, Markham, Ontario L6B0K8","$1,200,000 CAD",3 BedsBds,3 BathsBa,
"Copper Creek Drive & Donald Cousens Parkway, Markham, Markham, Ontario","$939,990 CAD",,,
"No address available, Markham, Ontario","$1,199,990 CAD",,,
"Hwy 7 & South Park Rd, Markham, Ontario L3T 0B6","$748,800 CAD",,,
"Featherstone Ave, Markham, Ontario L3S3G4","$1,399,000 CAD",4 BedsBds,5 BathsBa,"3,000 SqftSqft"
"No address available, Markham, Ontario","$1,798,000 CAD",,,
"308-39 New Delhi Dr, Markham, ON L3S0E1, Markham, Ontario","$599,000 CAD",3 BedsBds,2 BathsBa,"1,055 SqftSqft"
"58 Adam Sellers St, Markham, Ontario L6B1M7","$558,888 CAD",1 BedBd,1 BathBa,
"Joy Station Condos, Markham, Ontario, Markham, Ontario L6E 0H8","$671,900 CAD",2 BedsBds,2 BathsBa,
"Donald Buttress Boulevard West, Markham, Ontario L6C0J8","$709,850 CAD",,,
"8 Cedarland Dr, Markham, Ontario","$490,000 CAD",,,
"83 Normandale Rd, Markham, Ontario L3R4J9","$2,280,000 CAD",5 BedsBds,5 BathsBa,
"15 Apollo Rd, Markham, Ontario L3S4G8","$883,000 CAD",3 BedsBds,4 BathsBa,
